id,split,group,variant,height,width,psnr,ssim,lpips,time_ms,hole_fraction
easy_00001,easy,test/GOPRO_test/GOPR0384_11_00,average,720,1280,29.044542886647996,0.8578641892875805,0.10621137917041779,2.2462859997176565,0.0
easy_00001,easy,test/GOPRO_test/GOPR0384_11_00,raft_uniform,720,1280,39.30679757778276,0.9844592317443913,0.032049018889665604,2635.049429999526,0.004086371527777778
easy_00001,easy,test/GOPRO_test/GOPR0384_11_00,raft_hard,720,1280,38.7339440158416,0.9841018063238065,0.032263193279504776,2869.9197449996063,0.005003255208333333
easy_00001,easy,test/GOPRO_test/GOPR0384_11_00,raft_soft,720,1280,39.231713349165204,0.9844413022810622,0.03200149908661842,2876.9221330003347,0.004086371527777778
extreme_00001,extreme,test/GOPRO_test/GOPR0384_11_00,average,720,1280,18.342705478435985,0.5259048424794293,0.27466443181037903,2.0467689992074156,0.0
extreme_00001,extreme,test/GOPRO_test/GOPR0384_11_00,raft_uniform,720,1280,22.837470030713817,0.7246800543627334,0.1036374494433403,2764.422303000174,0.04728732638888889
extreme_00001,extreme,test/GOPRO_test/GOPR0384_11_00,raft_hard,720,1280,22.4260070610745,0.7201780340718849,0.11211894452571869,2985.6672059995617,0.05903754340277778
extreme_00001,extreme,test/GOPRO_test/GOPR0384_11_00,raft_soft,720,1280,22.640098245767586,0.7234585904897815,0.1087222695350647,3000.0250529992627,0.04759874131944444
hard_00001,hard,test/GOPRO_test/GOPR0384_11_00,average,720,1280,21.01583966927775,0.5820384935716668,0.181167870759964,2.3257009997905698,0.0
hard_00001,hard,test/GOPRO_test/GOPR0384_11_00,raft_uniform,720,1280,30.490317429655157,0.927536963190929,0.06143093854188919,2735.955447999004,0.022264539930555556
hard_00001,hard,test/GOPRO_test/GOPR0384_11_00,raft_hard,720,1280,29.97384072394968,0.9248745596532892,0.06330204755067825,2975.20522800005,0.02781684027777778
hard_00001,hard,test/GOPRO_test/GOPR0384_11_00,raft_soft,720,1280,30.151343086636444,0.9269007565038613,0.06292474269866943,2959.417129997746,0.022417534722222222
medium_00001,medium,test/GOPRO_test/GOPR0384_11_00,average,720,1280,24.084675975559108,0.6877814653942897,0.12931619584560394,3.1859660002737655,0.0
medium_00001,medium,test/GOPRO_test/GOPR0384_11_00,raft_uniform,720,1280,35.79000152081423,0.9678816839896135,0.041985854506492615,2796.6746190004415,0.010030381944444444
medium_00001,medium,test/GOPRO_test/GOPR0384_11_00,raft_hard,720,1280,35.178479357920736,0.9664338083716495,0.04290678724646568,3045.875437000177,0.013344184027777779
medium_00001,medium,test/GOPRO_test/GOPR0384_11_00,raft_soft,720,1280,35.372537668250764,0.9675680140379592,0.04217115789651871,3042.581487001371,0.010040147569444444
