id,variant,recorded_psnr,png_psnr,psnr_difference,recorded_ssim,png_ssim
easy_00001,average,29.044542886647996,29.04020597723212,-0.004336909415876278,0.8578641892875805,0.8571021735921023
easy_00001,raft_uniform,39.30679757778276,39.26215397290705,-0.044643604875709286,0.9844592317443913,0.9837444288577895
easy_00001,raft_hard,38.7339440158416,38.695084210446545,-0.03885980539505596,0.9841018063238065,0.9833874972829508
easy_00001,raft_soft,39.231713349165204,39.18831082790459,-0.04340252126061728,0.9844413022810622,0.9837276266772179
extreme_00001,average,18.342705478435985,18.33921162145565,-0.003493856980334442,0.5259048424794293,0.5250901284083305
extreme_00001,raft_uniform,22.837470030713817,22.835923064777912,-0.0015469659359048649,0.7246800543627334,0.7240441956735079
extreme_00001,raft_hard,22.4260070610745,22.42449900941249,-0.0015080516620109563,0.7201780340718849,0.7195437918205114
extreme_00001,raft_soft,22.640098245767586,22.638512101666628,-0.0015861441009583643,0.7234585904897815,0.7228211292093477
hard_00001,average,21.01583966927775,21.0124188475777,-0.003420821700050425,0.5820384935716668,0.581222954020577
hard_00001,raft_uniform,30.490317429655157,30.483484582245524,-0.0068328474096333025,0.927536963190929,0.9268269587361663
hard_00001,raft_hard,29.97384072394968,29.96785222448704,-0.005988499462642238,0.9248745596532892,0.9241669159805881
hard_00001,raft_soft,30.151343086636444,30.144995284024112,-0.006347802612332032,0.9269007565038613,0.9261914902290964
medium_00001,average,24.084675975559108,24.080555730897338,-0.0041202446617703,0.6877814653942897,0.6869691805562422
medium_00001,raft_uniform,35.79000152081423,35.769889477719744,-0.020112043094485443,0.9678816839896135,0.9671817989566022
medium_00001,raft_hard,35.178479357920736,35.161039717034434,-0.017439640886301788,0.9664338083716495,0.9657337426756039
medium_00001,raft_soft,35.372537668250764,35.3541145686278,-0.0184230996229644,0.9675680140379592,0.9668677228126688
